,Origin Time,Year,Latitude,Longitude,Depth,Magnitude,Location,Place,color
1967,2020-04-07 02:23:47,2020,33.1,76.17,5.0,2.6,"99km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
548,2021-03-08 10:38:38,2021,32.95,75.83,5.0,3.5,"83km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
596,2021-02-25 02:33:02,2021,32.32,76.29,5.0,2.2,"11km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
883,2020-11-29 21:12:35,2020,31.56,72.84,10.0,3.6,"192km W of Amritsar, Punjab, India", Punjab,0
1870,2020-04-24 07:49:07,2020,33.0,76.2,5.0,3.0,"87km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1680,2020-06-11 03:32:59,2020,32.2,76.3,10.0,2.6,"3km SW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1681,2020-06-10 19:27:56,2020,32.6,76.1,5.0,2.5,"47km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1712,2020-05-31 10:38:28,2020,32.2,74.5,10.0,3.3,"72km NNW of Amritsar, Punjab, India", Punjab,0
666,2021-02-08 04:56:02,2021,34.22,73.61,30.0,3.5,"73km WNW of Gulmarg, Jammu and Kashmir, India", Jammu & Kashmir,0
861,2020-12-07 02:09:22,2020,32.72,76.62,5.0,2.6,"62km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1764,2020-05-18 07:53:48,2020,32.3,76.0,5.0,3.5,"31km WNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
644,2021-02-14 15:49:53,2021,31.32,76.87,10.0,3.2,"30km S of Mandi, Himachal Pradesh, India", Himachal Pradesh,0
1765,2020-05-18 05:54:08,2020,32.7,76.7,5.0,3.0,"64km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1771,2020-05-16 14:49:20,2020,31.5,77.4,10.0,3.8,"46km ESE of Mandi, Himachal Pradesh, India", Himachal Pradesh,0
865,2020-12-06 10:10:40,2020,32.71,76.65,5.0,2.8,"62km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1814,2020-05-07 10:27:04,2020,32.8,76.2,10.0,2.4,"65km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1815,2020-05-07 09:28:33,2020,32.8,76.1,7.0,2.9,"67km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
614,2021-02-20 03:55:31,2021,32.64,76.2,5.0,2.8,"48km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1846,2020-04-28 12:17:50,2020,32.3,76.1,19.0,4.0,"22km WNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1856,2020-04-25 20:35:30,2020,32.5,76.4,5.0,2.4,"32km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1658,2020-06-15 00:16:55,2020,33.1,75.8,5.0,2.3,"81km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
2358,2020-01-19 16:14:14,2020,32.4,76.0,10.0,3.3,"36km WNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1454,2020-07-22 17:22:21,2020,32.301,76.629,5.0,2.7,"30km ENE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
37,2021-07-18 10:08:58,2021,34.13,77.8,20.0,3.7,"20km E of Leh, Laddakh, India", Laddakh,0
2620,2019-10-23 00:45:19,2019,32.0,77.0,14.0,2.2,"11km WNW of Kullu, Himachal Pradesh, India", Himachal Pradesh,0
1124,2020-10-09 02:31:29,2020,32.81,76.59,5.0,2.4,"70km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1125,2020-10-09 02:28:59,2020,32.82,76.56,5.0,2.1,"70km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1132,2020-10-07 15:25:55,2020,33.81,78.72,10.0,3.3,"112km ESE of Leh, Laddakh, India", Laddakh,0
1094,2020-10-14 23:06:39,2020,32.7,76.47,5.0,2.4,"55km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2601,2019-10-29 11:31:47,2019,32.7,76.4,5.0,3.4,"54km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2676,2019-09-09 21:27:37,2019,33.0,76.0,5.0,3.2,"92km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2678,2019-09-09 12:57:51,2019,33.0,76.0,5.0,2.7,"92km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
38,2021-07-18 04:48:28,2021,32.43,76.48,10.0,2.6,"27km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1158,2020-09-28 10:42:37,2020,33.22,75.82,5.0,4.2,"86km ENE of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
2679,2019-09-09 12:40:16,2019,32.9,76.0,5.0,3.2,"81km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2680,2019-09-09 12:10:31,2019,32.9,76.1,5.0,5.0,"78km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1138,2020-10-06 11:43:45,2020,34.03,78.89,10.0,4.4,"121km E of Leh, Laddakh, India", Laddakh,0
208,2021-05-22 13:29:03,2021,33.15,75.92,10.0,3.3,"93km ENE of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
2681,2019-09-08 08:04:34,2019,33.0,76.1,10.0,4.9,"89km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2407,2020-01-01 23:09:07,2020,32.8,75.5,10.0,3.1,"57km ESE of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
2682,2019-09-08 07:59:22,2019,32.9,76.0,5.0,3.8,"81km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2664,2019-09-24 16:31:55,2019,33.1,73.7,10.0,6.0,"64km WSW of Rajouri, Jammu and Kashmir", Jammu & Kashmir,0
151,2021-06-03 23:04:00,2021,32.41,76.51,10.0,2.9,"27km NE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
976,2020-11-07 04:18:41,2020,33.28,75.85,10.0,2.8,"91km ENE of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
2439,2019-12-22 09:39:09,2019,32.9,76.0,5.0,2.8,"81km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
966,2020-11-08 18:56:27,2020,33.48,75.62,10.0,4.0,"65km SSE of Pahalgam, Jammu and Kashmir, India", Jammu & Kashmir,0
965,2020-11-08 23:16:24,2020,33.44,75.67,10.0,3.4,"72km SSE of Pahalgam, Jammu and Kashmir, India", Jammu & Kashmir,0
2456,2019-12-17 10:51:08,2019,32.3,76.3,10.0,3.0,"9km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1157,2020-09-29 01:38:15,2020,33.17,75.91,10.0,2.4,"93km ENE of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
2649,2019-10-04 15:22:17,2019,32.6,76.9,8.4,2.4,"48km NW of Manali, Himachal Pradesh, India", Himachal Pradesh,0
2481,2019-12-09 22:27:20,2019,32.0,75.6,11.0,2.6,"72km WSW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2499,2019-12-03 19:38:54,2019,32.7,76.2,5.0,3.2,"54km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2648,2019-10-06 01:06:56,2019,32.6,76.5,11.0,2.3,"45km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2647,2019-10-06 05:25:56,2019,33.0,73.6,35.0,3.5,"78km WSW of Rajouri, Jammu and Kashmir", Jammu & Kashmir,0
1123,2020-10-09 02:32:45,2020,32.85,76.76,5.0,2.5,"78km NNW of Manali, Himachal Pradesh, India", Himachal Pradesh,0
2642,2019-10-11 01:04:56,2019,33.1,76.1,5.0,2.6,"100km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
