,Origin Time,Year,Latitude,Longitude,Depth,Magnitude,Location,Place,color
266,2021-05-09 23:58:06,2021,26.68,92.39,18.0,2.9,"40km W of Tezpur, Assam, India", Assam,1
265,2021-05-10 00:11:26,2021,26.69,92.42,23.0,3.7,"37km W of Tezpur, Assam, India", Assam,1
264,2021-05-10 02:01:56,2021,27.76,92.86,10.0,2.4,"99km ENE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
120,2021-06-18 04:20:21,2021,25.67,91.29,10.0,2.6,"58km WSW of Nongpoh, Meghalaya, India", Meghalaya,1
347,2021-04-28 21:38:11,2021,26.73,92.38,15.0,2.8,"41km W of Tezpur, Assam, India", Assam,1
2229,2020-02-14 23:07:58,2020,26.2,92.9,27.0,2.5,"51km SSE of Tezpur, Assam, India", Assam,1
2451,2019-12-19 04:17:02,2019,26.92,92.56,82.0,2.7,"37km NW of Tezpur, Assam, India", Assam,1
451,2021-04-03 02:40:00,2021,27.62,92.65,5.0,2.2,"76km E of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
447,2021-04-04 22:38:31,2021,26.57,93.89,24.0,2.9,"36km WSW of Jorhat, Assam, India", Assam,1
2071,2020-03-22 09:01:09,2020,25.5,91.0,5.0,2.9,"77km WNW of Cherrapunjee, Meghalaya, India", Meghalaya,1
2546,2019-11-19 22:19:49,2019,26.4,92.7,30.0,3.8,"29km SSW of Tezpur, Assam, India", Assam,1
1154,2020-09-29 09:10:41,2020,27.27,91.93,10.0,3.6,"34km S of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2082,2020-03-20 20:13:11,2020,27.2,92.8,5.0,3.2,"60km N of Tezpur, Assam, India", Assam,1
1155,2020-09-29 09:06:59,2020,27.35,92.11,5.0,3.5,"34km SE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2056,2020-03-26 01:13:07,2020,25.1,91.9,39.0,2.4,"25km SE of Cherrapunjee, Meghalaya, India", Meghalaya,1
921,2020-11-15 04:34:24,2020,25.51,90.67,10.0,2.7,"46km E of Tura, Meghalaya, India", Meghalaya,1
2102,2020-03-15 15:40:07,2020,27.7,91.1,10.0,2.9,"77km W of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2104,2020-03-15 12:33:31,2020,27.2,92.1,19.0,2.5,"47km SSE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
158,2021-06-02 16:33:27,2021,26.41,90.15,5.0,2.8,"99km N of Tura, Meghalaya, India", Meghalaya,1
927,2020-11-13 21:04:04,2020,26.59,93.24,11.0,2.8,"45km E of Tezpur, Assam, India", Assam,1
2141,2020-03-05 21:04:18,2020,27.3,94.0,8.0,2.8,"45km ENE of Itanagar, Arunachal Pradesh, India", Arunachal Pradesh,1
2148,2020-03-04 03:32:13,2020,25.9,90.8,0.8,2.4,"73km NE of Tura, Meghalaya, India", Meghalaya,1
162,2021-06-01 23:48:30,2021,26.77,92.42,10.0,3.5,"39km WNW of Tezpur, Assam, India", Assam,1
2093,2020-03-18 01:17:37,2020,25.5,90.9,10.0,3.2,"69km E of Tura, Meghalaya, India", Meghalaya,1
2055,2020-03-26 03:45:02,2020,25.6,93.4,25.0,2.8,"42km WSW of Chumukedima, Nagaland, India", Nagaland,1
460,2021-03-30 10:03:40,2021,25.7,91.39,5.0,2.8,"48km WSW of Nongpoh, Meghalaya, India", Meghalaya,1
2550,2019-11-18 18:33:42,2019,26.7,92.7,48.0,2.8,"10km WNW of Tezpur, Assam, India", Assam,1
121,2021-06-18 02:04:40,2021,26.73,92.44,22.0,4.1,"36km WNW of Tezpur, Assam, India", Assam,1
2028,2020-03-29 07:05:43,2020,27.35,91.19,10.0,2.8,"72km WSW of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2571,2019-11-13 01:07:17,2019,25.8,90.2,20.0,3.2,"31km N of Tura, Meghalaya, India", Meghalaya,1
2030,2020-03-29 05:05:03,2020,25.9,91.1,13.0,2.0,"69km WSW of Guwahati, Assam, India", Assam,1
2568,2019-11-13 18:40:54,2019,26.2,93.4,48.0,4.6,"45km NW of Dimapur, Nagaland, India", Nagaland,1
2035,2020-03-28 07:43:15,2020,27.2,91.96,15.0,2.7,"42km SSE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2037,2020-03-28 05:09:32,2020,26.5,93.4,11.0,2.5,"62km ESE of Tezpur, Assam, India", Assam,1
475,2021-03-27 00:32:08,2021,27.55,92.66,10.0,5.0,"77km E of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2566,2019-11-14 23:19:39,2019,26.0,91.9,10.0,2.4,"15km NNE of Nongpoh, Meghalaya, India", Meghalaya,1
473,2021-03-28 03:27:52,2021,27.36,92.63,6.0,2.8,"78km ESE of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
134,2021-06-13 22:47:35,2021,26.52,92.28,10.0,2.8,"53km WSW of Tezpur, Assam, India", Assam,1
470,2021-03-28 23:23:23,2021,27.57,92.69,10.0,2.6,"80km E of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2564,2019-11-15 00:41:37,2019,27.1,91.4,21.0,2.7,"71km SW of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2560,2019-11-15 07:28:25,2019,26.5,92.7,25.0,3.8,"19km SSW of Tezpur, Assam, India", Assam,1
140,2021-06-11 04:53:12,2021,27.07,92.52,10.0,3.6,"53km NNW of Tezpur, Assam, India", Assam,1
466,2021-03-29 18:52:33,2021,25.56,91.91,10.0,3.2,"2km SE of Shillong, Meghalaya, India", Meghalaya,1
1144,2020-10-03 21:06:16,2020,26.13,91.22,10.0,3.9,"51km W of Guwahati, Assam, India", Assam,1
349,2021-04-28 17:39:57,2021,26.62,92.4,19.0,3.0,"39km W of Tezpur, Assam, India", Assam,1
421,2021-04-12 21:01:30,2021,27.61,92.71,10.0,3.6,"82km E of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2160,2020-03-01 01:35:24,2020,26.5,92.1,10.0,4.2,"53km NE of Guwahati, Assam, India", Assam,1
2538,2019-11-21 19:41:08,2019,26.0,91.2,17.0,4.3,"55km WSW of Guwahati, Assam, India", Assam,1
2164,2020-02-29 00:35:41,2020,24.7,91.8,10.0,2.8,"50km NW of Dharmanagar, Tripura, India", Tripura,1
2200,2020-02-21 08:32:32,2020,24.9,91.4,10.0,2.9,"53km SW of Cherrapunjee, Meghalaya, India", Meghalaya,1
2202,2020-02-21 02:05:03,2020,25.5,92.8,15.0,3.3,"91km E of Shillong, Meghalaya, India", Meghalaya,1
365,2021-04-27 10:39:11,2021,25.43,91.9,5.0,3.0,"16km S of Shillong, Meghalaya, India", Meghalaya,1
363,2021-04-27 12:42:04,2021,26.81,92.73,28.0,2.6,"18km NNW of Tezpur, Assam, India", Assam,1
789,2020-12-29 03:58:16,2020,28.49,91.96,112.0,3.1,"101km N of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
360,2021-04-28 07:51:25,2021,26.69,92.36,17.0,6.4,"43km W of Tezpur, Assam, India", Assam,1
929,2020-11-13 15:39:47,2020,28.67,91.83,30.0,3.1,"121km N of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
359,2021-04-28 08:03:01,2021,26.74,92.42,15.0,4.7,"38km WNW of Tezpur, Assam, India", Assam,1
357,2021-04-28 08:25:40,2021,26.54,92.45,26.0,3.6,"36km WSW of Tezpur, Assam, India", Assam,1
356,2021-04-28 08:44:34,2021,26.59,92.46,25.0,3.6,"33km WSW of Tezpur, Assam, India", Assam,1
355,2021-04-28 10:05:54,2021,26.39,92.52,27.0,3.2,"39km SW of Tezpur, Assam, India", Assam,1
354,2021-04-28 10:39:12,2021,26.62,92.46,10.0,3.4,"33km W of Tezpur, Assam, India", Assam,1
353,2021-04-28 12:32:06,2021,26.36,92.38,23.0,2.9,"52km SW of Tezpur, Assam, India", Assam,1
352,2021-04-28 14:34:52,2021,26.83,92.5,10.0,3.4,"35km NW of Tezpur, Assam, India", Assam,1
351,2021-04-28 15:55:48,2021,26.77,92.36,10.0,2.9,"44km WNW of Tezpur, Assam, India", Assam,1
358,2021-04-28 08:13:21,2021,26.69,92.41,20.0,4.0,"38km W of Tezpur, Assam, India", Assam,1
2196,2020-02-22 05:59:09,2020,27.4,91.9,5.0,3.4,"19km S of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,1
2220,2020-02-16 20:17:52,2020,26.3,93.1,30.0,2.9,"49km SE of Tezpur, Assam, India", Assam,1
2192,2020-02-23 05:35:03,2020,26.2,92.6,28.0,2.8,"53km SSW of Tezpur, Assam, India", Assam,1
168,2021-05-31 09:50:50,2021,26.69,92.35,24.0,3.8,"44km W of Tezpur, Assam, India", Assam,1
411,2021-04-14 04:34:57,2021,26.24,92.82,10.0,2.8,"46km S of Tezpur, Assam, India", Assam,1
171,2021-05-30 14:23:06,2021,26.69,92.39,16.0,4.1,"40km W of Tezpur, Assam, India", Assam,1
2527,2019-11-24 20:47:20,2019,25.7,93.3,5.0,3.8,"46km WSW of Chumukedima, Nagaland, India", Nagaland,1
176,2021-05-29 10:06:50,2021,25.09,92.17,15.0,3.0,"48km ESE of Cherrapunjee, Meghalaya, India", Meghalaya,1
178,2021-05-29 01:29:04,2021,25.57,91.78,10.0,3.5,"11km W of Shillong, Meghalaya, India", Meghalaya,1
2501,2019-12-03 07:50:37,2019,24.9,92.4,10.0,2.6,"63km NNE of Dharmanagar, Tripura, India", Tripura,1
175,2021-05-29 13:30:11,2021,24.79,91.61,3.4,3.4,"54km SSW of Cherrapunjee, Meghalaya, India", Meghalaya,1
2177,2020-02-26 18:47:52,2020,25.5,91.1,5.0,3.0,"68km WNW of Cherrapunjee, Meghalaya, India", Meghalaya,1
391,2021-04-17 20:38:01,2021,28.08,93.04,10.0,2.6,"123km NNW of Itanagar, Arunachal Pradesh, India", Arunachal Pradesh,1
2183,2020-02-25 06:40:12,2020,25.5,91.7,14.0,2.7,"21km WSW of Shillong, Meghalaya, India", Meghalaya,1
387,2021-04-19 11:17:58,2021,25.9,90.29,10.0,2.9,"43km N of Tura, Meghalaya, India", Meghalaya,1
2184,2020-02-25 03:50:49,2020,24.8,91.7,10.0,3.8,"52km S of Cherrapunjee, Meghalaya, India", Meghalaya,1
931,2020-11-13 08:45:37,2020,12.13,93.46,10.0,4.3,"97km NE of Portblair, Andaman and Nicobar island, India", A & N island,2
1257,2020-09-06 06:38:55,2020,9.88,94.01,82.0,4.3,"239km SE of Portblair, Andaman and Nicobar island, India", A & N island,2
971,2020-11-07 12:30:57,2020,10.44,93.26,71.0,3.6,"143km SSE of Portblair, Andaman and Nicobar island, India", A & N island,2
972,2020-11-07 11:49:25,2020,14.45,92.34,53.0,4.2,"148km NNW of Diglipur, Andaman and Nicobar island, India", A & N island,2
1318,2020-08-20 02:23:03,2020,9.66,93.11,10.0,4.7,"222km S of Portblair, Andaman and Nicobar island, India", A & N island,2
795,2020-12-26 19:49:15,2020,16.15,93.07,50.0,4.1,"320km N of Diglipur, Andaman and Nicobar island, India", A & N island,2
864,2020-12-06 19:05:39,2020,12.79,93.14,10.0,4.3,"55km SSE of Diglipur, Andaman and Nicobar island, India", A & N island,2
1249,2020-09-08 03:20:08,2020,10.46,92.03,20.0,4.2,"150km SSW of Portblair, Andaman and Nicobar island, India", A & N island,2
1250,2020-09-08 03:07:49,2020,13.22,93.18,20.0,4.0,"22km ESE of Diglipur, Andaman and Nicobar island, India", A & N island,2
2718,2019-08-01 06:13:21,2019,14.5,92.9,10.0,4.6,"137km N of Diglipur, Andaman and Nicobar island, India", A & N island,2
2291,2020-01-31 03:13:31,2020,12.3,94.3,17.0,3.5,"178km SE of Diglipur, Andaman and Nicobar island, India", A & N island,2
1460,2020-07-21 04:22:58,2020,12.76,95.44,10.0,4.2,"272km E of Diglipur, Andaman and Nicobar island, India", A & N island,2
2087,2020-03-19 18:29:01,2020,8.8,93.9,40.0,4.2,"199km N of Campbell Bay, Andaman and Nicobar island, India", A & N island,2
57,2021-07-13 01:44:59,2021,14.5,93.14,10.0,4.2,"138km N of Diglipur, Andaman and Nicobar island, India", A & N island,2
1685,2020-06-10 02:17:37,2020,14.0,92.3,50.0,4.3,"110km NW of Diglipur, Andaman and Nicobar island, India", A & N island,2
1723,2020-05-29 06:00:30,2020,11.7,92.4,10.0,4.5,"36km WNW of Portblair, Andaman and Nicobar island, India", A & N island,2
2660,2019-09-27 00:45:35,2019,11.0,91.7,10.0,4.8,"131km WSW of Portblair, Andaman and Nicobar island, India", A & N island,2
2658,2019-09-29 14:32:15,2019,11.3,91.5,10.0,4.8,"138km WSW of Portblair, Andaman and Nicobar island, India", A & N island,2
1746,2020-05-23 14:41:35,2020,14.2,94.0,80.0,4.7,"151km NE of Diglipur, Andaman and Nicobar island, India", A & N island,2
240,2021-05-18 04:24:46,2021,15.46,93.37,34.0,4.1,"247km N of Diglipur, Andaman and Nicobar island, India", A & N island,2
1747,2020-05-23 01:13:09,2020,11.5,93.4,10.0,4.1,"74km E of Portblair, Andaman and Nicobar island, India", A & N island,2
632,2021-02-17 02:06:51,2021,12.04,94.78,10.0,4.2,"228km ENE of Portblair, Andaman and Nicobar island, India", A & N island,2
2478,2019-12-10 09:21:49,2019,12.6,94.9,10.0,4.1,"220km ESE of Diglipur, Andaman and Nicobar island, India", A & N island,2
1848,2020-04-28 01:24:30,2020,12.3,92.8,10.0,4.4,"75km N of Portblair, Andaman and Nicobar island, India", A & N island,2
2551,2019-11-18 04:35:57,2019,11.4,92.9,10.0,4.8,"31km SE of Portblair, Andaman and Nicobar island, India", A & N island,2
1881,2020-04-21 05:39:09,2020,9.5,93.0,10.0,4.7,"238km S of Portblair, Andaman and Nicobar island, India", A & N island,2
1924,2020-04-13 23:04:02,2020,12.1,92.8,16.0,4.3,"53km N of Portblair, Andaman and Nicobar island, India", A & N island,2
2508,2019-11-29 23:20:17,2019,13.7,93.2,10.0,4.6,"53km NNE of Diglipur, Andaman and Nicobar island, India", A & N island,2
2517,2019-11-27 15:37:17,2019,14.5,92.8,10.0,4.4,"138km N of Diglipur, Andaman and Nicobar island, India", A & N island,2
636,2021-02-15 19:23:24,2021,9.42,93.48,10.0,4.1,"258km SSE of Portblair, Andaman and Nicobar island, India", A & N island,2
380,2021-04-22 01:04:56,2021,11.55,93.62,35.0,4.3,"97km E of Portblair, Andaman and Nicobar island, India", A & N island,2
156,2021-06-03 01:15:38,2021,10.6,91.52,10.0,4.2,"174km SW of Portblair, Andaman and Nicobar island, India", A & N island,2
2246,2020-02-11 01:18:17,2020,11.0,92.8,10.0,3.2,"69km S of Portblair, Andaman and Nicobar island, India", A & N island,2
2714,2019-08-04 06:56:19,2019,12.3,94.8,10.0,4.8,"224km ESE of Diglipur, Andaman and Nicobar island, India", A & N island,2
1487,2020-07-18 00:03:00,2020,11.77,95.17,10.0,5.7,"266km E of Portblair, Andaman and Nicobar island, India", A & N island,2
1488,2020-07-17 23:15:28,2020,11.48,95.42,10.0,4.5,"293km E of Portblair, Andaman and Nicobar island, India", A & N island,2
1492,2020-07-17 19:33:42,2020,11.91,95.14,10.0,5.6,"264km E of Portblair, Andaman and Nicobar island, India", A & N island,2
1493,2020-07-17 18:59:04,2020,11.47,95.12,62.3,5.1,"261km E of Portblair, Andaman and Nicobar island, India", A & N island,2
1496,2020-07-17 11:07:36,2020,11.85,95.65,10.0,4.5,"319km E of Portblair, Andaman and Nicobar island, India", A & N island,2
2692,2019-08-28 19:10:02,2019,13.2,93.5,10.0,5.0,"56km E of Diglipur, Andaman and Nicobar island, India", A & N island,2
1520,2020-07-13 02:36:53,2020,14.64,93.11,27.0,4.3,"153km N of Diglipur, Andaman and Nicobar island, India", A & N island,2
1542,2020-07-08 05:19:29,2020,11.68,93.38,150.0,4.4,"71km E of Portblair, Andaman and Nicobar island, India", A & N island,2
1497,2020-07-17 10:31:14,2020,11.73,95.02,10.0,4.8,"250km E of Portblair, Andaman and Nicobar island, India", A & N island,2
2247,2020-02-10 23:50:08,2020,13.3,93.2,19.0,4.3,"23km E of Diglipur, Andaman and Nicobar island, India", A & N island,2
2263,2020-02-07 16:30:41,2020,11.22,93.62,10.0,4.9,"107km ESE of Portblair, Andaman and Nicobar island, India", A & N island,2
2298,2020-01-29 20:41:02,2020,10.8,93.5,10.0,4.3,"124km SE of Portblair, Andaman and Nicobar island, India", A & N island,2
2252,2020-02-09 14:18:56,2020,12.6,93.2,10.0,4.3,"77km SSE of Diglipur, Andaman and Nicobar island, India", A & N island,2
2698,2019-08-21 14:49:13,2019,8.9,93.4,10.0,4.6,"217km NNW of Campbell Bay, Andaman and Nicobar island, India", A & N island,2
1588,2020-06-28 08:56:25,2020,12.98,92.7,45.0,4.1,"44km SW of Diglipur, Andaman and Nicobar island, India", A & N island,2
2341,2020-01-21 10:38:31,2020,20.0,72.8,10.0,2.5,"103km N of Mumbai, Maharashtra, India", Maharashtra,3
1182,2020-09-22 02:50:43,2020,20.01,72.79,5.0,3.5,"104km N of Mumbai, Maharashtra, India", Maharashtra,3
1181,2020-09-22 04:12:21,2020,20.07,72.9,10.0,2.1,"93km W of Nashik, Maharashtra, India", Maharashtra,3
2532,2019-11-23 20:40:49,2019,19.9,72.8,10.0,3.3,"92km N of Mumbai, Maharashtra, India", Maharashtra,3
1188,2020-09-20 12:41:18,2020,20.17,72.95,5.0,2.8,"89km WNW of Nashik, Maharashtra, India", Maharashtra,3
2469,2019-12-13 15:56:00,2019,20.0,72.9,4.0,3.2,"93km W of Nashik, Maharashtra, India", Maharashtra,3
2467,2019-12-13 21:55:07,2019,20.0,72.7,10.0,3.4,"104km N of Mumbai, Maharashtra, India", Maharashtra,3
2465,2019-12-14 05:22:40,2019,20.0,72.8,10.0,3.9,"103km N of Mumbai, Maharashtra, India", Maharashtra,3
2436,2019-12-23 21:33:04,2019,20.0,72.7,10.0,2.3,"104km N of Mumbai, Maharashtra, India", Maharashtra,3
1187,2020-09-20 21:57:15,2020,20.05,72.93,10.0,2.4,"90km W of Nashik, Maharashtra, India", Maharashtra,3
1186,2020-09-21 00:02:08,2020,20.12,72.98,5.0,2.4,"85km W of Nashik, Maharashtra, India", Maharashtra,3
1178,2020-09-23 14:30:55,2020,20.06,72.91,3.5,2.6,"92km W of Nashik, Maharashtra, India", Maharashtra,3
1156,2020-09-29 04:25:54,2020,20.06,72.9,5.0,2.4,"93km W of Nashik, Maharashtra, India", Maharashtra,3
1180,2020-09-22 05:49:44,2020,20.06,72.9,8.0,2.0,"93km W of Nashik, Maharashtra, India", Maharashtra,3
1471,2020-07-19 21:33:59,2020,17.36,73.92,10.0,3.5,"80km NNW of Kolhapur, Maharashtra, India", Maharashtra,3
2545,2019-11-20 01:35:45,2019,19.9,72.9,10.0,4.0,"91km N of Mumbai, Maharashtra, India", Maharashtra,3
2707,2019-08-13 05:38:33,2019,20.0,72.8,10.0,3.2,"103km N of Mumbai, Maharashtra, India", Maharashtra,3
2700,2019-08-19 11:13:23,2019,20.0,73.0,5.0,2.5,"82km W of Nashik, Maharashtra, India", Maharashtra,3
2699,2019-08-19 14:43:02,2019,23.0,70.4,10.0,4.0,"87km NNW of Rajkot, Gujarat, India", Gujarat,3
1055,2020-10-23 04:32:27,2020,20.02,72.89,5.0,2.2,"94km W of Nashik, Maharashtra, India", Maharashtra,3
1059,2020-10-22 10:26:58,2020,20.01,72.9,5.0,2.3,"93km W of Nashik, Maharashtra, India", Maharashtra,3
1060,2020-10-22 09:39:32,2020,20.01,72.9,5.0,2.7,"93km W of Nashik, Maharashtra, India", Maharashtra,3
1062,2020-10-21 19:26:03,2020,20.02,72.91,5.0,2.1,"92km W of Nashik, Maharashtra, India", Maharashtra,3
1072,2020-10-20 08:46:36,2020,20.02,72.92,5.0,2.5,"90km W of Nashik, Maharashtra, India", Maharashtra,3
2670,2019-09-20 16:32:32,2019,20.0,72.8,5.0,3.5,"103km N of Mumbai, Maharashtra, India", Maharashtra,3
2669,2019-09-21 22:30:06,2019,20.0,72.8,10.0,3.2,"103km N of Mumbai, Maharashtra, India", Maharashtra,3
1095,2020-10-14 15:43:52,2020,19.57,73.14,5.0,2.8,"61km NNE of Mumbai, Maharashtra, India", Maharashtra,3
1104,2020-10-11 23:32:57,2020,19.93,72.82,5.0,2.3,"95km N of Mumbai, Maharashtra, India", Maharashtra,3
2667,2019-09-22 12:47:22,2019,19.9,72.7,10.0,3.4,"93km NNW of Mumbai, Maharashtra, India", Maharashtra,3
1117,2020-10-10 08:27:19,2020,19.99,72.84,5.0,2.6,"99km W of Nashik, Maharashtra, India", Maharashtra,3
2665,2019-09-24 14:17:29,2019,20.0,72.8,10.0,2.8,"103km N of Mumbai, Maharashtra, India", Maharashtra,3
2618,2019-10-23 21:57:57,2019,19.9,72.8,10.0,2.9,"92km N of Mumbai, Maharashtra, India", Maharashtra,3
2615,2019-10-26 04:05:39,2019,20.0,72.8,10.0,3.7,"103km N of Mumbai, Maharashtra, India", Maharashtra,3
1128,2020-10-08 00:49:26,2020,19.94,72.91,5.0,2.8,"92km W of Nashik, Maharashtra, India", Maharashtra,3
2294,2020-01-30 16:14:51,2020,20.1,72.8,13.0,3.0,"104km W of Nashik, Maharashtra, India", Maharashtra,3
2614,2019-10-26 08:48:17,2019,20.0,72.9,5.0,2.7,"93km W of Nashik, Maharashtra, India", Maharashtra,3
1136,2020-10-06 21:33:31,2020,19.98,72.88,8.0,3.5,"95km W of Nashik, Maharashtra, India", Maharashtra,3
2600,2019-10-30 03:17:17,2019,20.3,71.9,20.0,3.5,"136km SW of Surat, Gujarat, India", Gujarat,3
2588,2019-11-03 04:39:43,2019,20.0,73.0,10.0,2.9,"82km W of Nashik, Maharashtra, India", Maharashtra,3
2549,2019-11-18 19:01:06,2019,23.6,70.3,10.0,4.0,"153km NNW of Rajkot, Gujarat, India", Gujarat,3
2548,2019-11-19 11:00:46,2019,20.0,72.8,5.0,2.9,"103km N of Mumbai, Maharashtra, India", Maharashtra,3
2539,2019-11-21 07:20:28,2019,20.0,72.8,10.0,3.5,"103km N of Mumbai, Maharashtra, India", Maharashtra,3
1131,2020-10-07 16:24:18,2020,20.2,72.94,5.0,2.4,"91km WNW of Nashik, Maharashtra, India", Maharashtra,3
1224,2020-09-11 07:06:01,2020,19.99,72.83,5.0,3.6,"100km W of Nashik, Maharashtra, India", Maharashtra,3
1202,2020-09-16 23:32:50,2020,16.67,75.96,10.0,3.0,"157km NNW of Hampi, Karnataka, India", Karnataka,3
1261,2020-09-04 23:41:54,2020,19.98,72.85,5.0,3.6,"98km W of Nashik, Maharashtra, India", Maharashtra,3
1806,2020-05-09 15:36:53,2020,21.5,70.9,20.0,4.3,"90km S of Rajkot, Gujarat, India", Gujarat,3
1263,2020-09-04 10:33:14,2020,19.9,72.83,10.0,2.8,"91km N of Mumbai, Maharashtra, India", Maharashtra,3
1265,2020-09-02 14:09:48,2020,23.16,70.25,5.0,3.3,"110km NNW of Rajkot, Gujarat, India", Gujarat,3
1268,2020-09-01 15:47:00,2020,19.96,72.81,5.0,2.5,"98km N of Mumbai, Maharashtra, India", Maharashtra,3
1283,2020-08-28 20:59:27,2020,19.95,72.82,5.0,2.6,"97km N of Mumbai, Maharashtra, India", Maharashtra,3
1683,2020-06-10 12:08:11,2020,20.1,72.8,7.0,2.8,"104km W of Nashik, Maharashtra, India", Maharashtra,3
1661,2020-06-14 20:13:08,2020,23.3,70.4,10.0,5.3,"118km NNW of Rajkot, Gujarat, India", Gujarat,3
1301,2020-08-23 22:07:42,2020,23.25,70.6,30.0,4.1,"107km NNW of Rajkot, Gujarat, India", Gujarat,3
1302,2020-08-23 19:29:27,2020,19.9,72.71,5.0,2.7,"93km N of Mumbai, Maharashtra, India", Maharashtra,3
1303,2020-08-23 18:54:37,2020,20.07,72.71,5.0,2.5,"111km N of Mumbai, Maharashtra, India", Maharashtra,3
1305,2020-08-23 18:47:15,2020,19.96,72.78,5.0,3.1,"98km N of Mumbai, Maharashtra, India", Maharashtra,3
1306,2020-08-23 17:23:22,2020,20.15,72.83,5.0,3.0,"101km W of Nashik, Maharashtra, India", Maharashtra,3
1653,2020-06-15 12:57:35,2020,23.3,70.4,10.0,4.1,"118km NNW of Rajkot, Gujarat, India", Gujarat,3
1307,2020-08-23 11:39:46,2020,19.92,72.79,10.0,2.8,"94km N of Mumbai, Maharashtra, India", Maharashtra,3
1651,2020-06-15 15:56:03,2020,23.4,70.3,15.0,3.5,"132km NNW of Rajkot, Gujarat, India", Gujarat,3
1642,2020-06-17 11:51:19,2020,20.0,72.8,10.0,2.5,"103km N of Mumbai, Maharashtra, India", Maharashtra,3
1322,2020-08-18 14:54:59,2020,20.14,72.96,5.0,2.2,"88km W of Nashik, Maharashtra, India", Maharashtra,3
1332,2020-08-15 10:22:44,2020,17.35,73.69,5.0,2.9,"92km NW of Kolhapur, Maharashtra, India", Maharashtra,3
1555,2020-07-05 17:11:07,2020,23.56,70.36,27.0,3.9,"146km NNW of Rajkot, Gujarat, India", Gujarat,3
1358,2020-08-10 09:47:36,2020,19.92,72.81,3.0,2.9,"94km N of Mumbai, Maharashtra, India", Maharashtra,3
1505,2020-07-16 07:40:29,2020,22.21,70.93,10.0,4.5,"16km SE of Rajkot, Gujarat, India", Gujarat,3
1386,2020-08-03 17:19:50,2020,21.44,72.81,5.0,3.0,"30km N of Surat, Gujarat, India", Gujarat,3
1414,2020-07-29 01:19:45,2020,19.964,72.843,6.0,2.8,"98km N of Mumbai, Maharashtra, India", Maharashtra,3
1438,2020-07-24 00:26:42,2020,19.96,72.83,5.0,3.1,"98km N of Mumbai, Maharashtra, India", Maharashtra,3
1260,2020-09-05 00:05:12,2020,19.99,72.88,5.0,3.6,"95km W of Nashik, Maharashtra, India", Maharashtra,3
2288,2020-01-31 13:24:42,2020,20.1,72.8,9.0,3.3,"104km W of Nashik, Maharashtra, India", Maharashtra,3
1259,2020-09-05 06:36:31,2020,19.96,72.83,5.0,2.7,"98km N of Mumbai, Maharashtra, India", Maharashtra,3
1832,2020-05-03 07:46:55,2020,20.2,72.9,10.0,2.3,"95km WNW of Nashik, Maharashtra, India", Maharashtra,3
1206,2020-09-15 11:39:57,2020,20.05,72.9,5.0,2.7,"93km W of Nashik, Maharashtra, India", Maharashtra,3
1211,2020-09-14 16:16:28,2020,19.96,72.86,5.0,2.9,"97km W of Nashik, Maharashtra, India", Maharashtra,3
2266,2020-02-06 02:17:08,2020,7.3,73.7,10.0,4.5,"129km SE of Minicoy, Lakshsdweep Island, India", Lakshsdweep Island,3
1216,2020-09-12 21:38:02,2020,17.28,73.71,5.0,2.5,"85km NW of Kolhapur, Maharashtra, India", Maharashtra,3
2124,2020-03-09 17:18:40,2020,19.9,73.0,10.0,2.3,"83km W of Nashik, Maharashtra, India", Maharashtra,3
2118,2020-03-10 01:24:21,2020,20.0,72.5,10.0,2.9,"110km NNW of Mumbai, Maharashtra, India", Maharashtra,3
1226,2020-09-11 05:45:48,2020,20.02,72.67,10.0,2.5,"107km NNW of Mumbai, Maharashtra, India", Maharashtra,3
2088,2020-03-19 09:19:04,2020,20.0,72.9,10.0,3.3,"93km W of Nashik, Maharashtra, India", Maharashtra,3
1227,2020-09-11 05:04:36,2020,19.94,72.7,10.0,2.2,"97km N of Mumbai, Maharashtra, India", Maharashtra,3
1228,2020-09-11 03:57:50,2020,19.95,72.76,10.0,3.5,"98km N of Mumbai, Maharashtra, India", Maharashtra,3
1229,2020-09-11 03:53:24,2020,19.98,72.77,10.0,2.6,"101km N of Mumbai, Maharashtra, India", Maharashtra,3
1230,2020-09-11 03:45:12,2020,19.94,72.79,10.0,2.6,"96km N of Mumbai, Maharashtra, India", Maharashtra,3
